0	6	22
522	7	12
523	4	17
524	9	17
525	8	7
526	6	15
527	0	8
528	7	17
529	7	26
530	6	10
531	6	23
532	6	29
533	9	6
534	8	131	0	10
2	3	28
3	4	21
4	0	6
5	5	29
6	8	28
7	3	13
8	2	23
9	9	0
10	1	10
11	4	21
12	7	25
13	4	2
14	0	20
15	5	23
16	6	10
17	8	21
18	3	11
19	2	16
20	9	9
21	0	4
22	6	27
23	2	6
24	9	13
25	2	4
26	1	26
27	9	17
28	4	29
29	8	12
30	7	17
31	6	14
32	0	19
33	8	27
34	5	25
35	6	28
36	3	29
37	7	29
38	4	23
39	5	22
40	6	7
41	0	0
42	5	29
43	0	27
44	4	19
45	9	23
46	1	26
47	5	24
48	8	5
49	5	21
50	7	20
51	8	1
52	9	20
53	8	14
54	2	9
55	5	7
56	8	21
57	0	27
58	3	12
59	4	10
60	9	18
61	7	2
62	3	7
63	0	15
64	3	29
65	2	18
66	5	26
67	4	11
68	2	2
69	6	20
70	3	24
71	5	17
72	4	12
73	4	3
74	3	29
75	3	6
76	7	0
77	3	0
78	9	28
79	4	21
80	8	27
81	7	2
82	6	17
83	8	12
84	1	3
85	3	15
86	0	16
87	2	23
88	9	15
89	3	4
90	7	3
91	3	28
92	5	17
93	4	24
94	2	7
95	1	6
96	7	12
97	4	12
98	7	25
99	7	23
100	2	17
101	2	6
102	1	20
103	7	8
104	4	19
105	9	19
106	1	8
107	5	27
108	0	2
109	4	4
110	9	20
111	7	12
112	3	7
113	7	18
114	9	6
115	5	3
116	2	8
117	8	21
118	1	14
119	0	23
120	5	27
121	4	10
122	6	7
123	7	6
124	1	4
125	2	13
126	3	9
127	7	2
128	5	3
129	0	24
130	6	21
131	8	11
132	7	11
133	2	24
134	1	29
135	3	11
136	0	13
137	1	15
138	0	12
139	3	6
140	1	21
141	4	23
142	1	29
143	8	17
144	7	15
145	3	17
146	6	22
147	7	27
148	7	5
149	8	24
150	1	2
151	1	12
152	5	2
153	2	24
154	8	11
155	3	28
156	0	25
157	6	12
158	8	0
159	7	14
160	5	26
161	7	4
162	2	29
163	5	28
164	5	10
165	4	4
166	2	16
167	1	6
168	0	25
169	5	16
170	6	24
171	1	15
172	1	11
173	0	25
174	7	24
175	7	7
176	7	28
177	3	26
178	3	17
179	1	8
180	5	9
181	2	3
182	3	25
183	8	6
184	8	2
185	7	10
186	6	24
187	9	6
188	4	27
189	8	8
190	8	29
191	9	9
192	0	24
193	5	21
194	9	11
195	4	19
196	5	21
197	1	3
198	1	17
199	6	21
200	0	1
201	3	7
202	6	14
203	0	20
204	3	6
205	8	10
206	2	18
207	9	20
208	6	13
209	8	17
210	5	9
211	4	14
212	3	23
213	4	16
214	4	0
215	0	23
216	5	20
217	4	2
218	0	16
219	9	9
220	0	20
221	9	7
222	0	6
223	9	23
224	0	14
225	6	5
226	3	18
228	3	13
229	9	29
230	2	8
231	7	28
232	2	6
233	8	3
234	8	22
235	9	11
236	5	6
237	1	26
238	5	9
239	8	8
240	1	10
241	8	9
242	8	2
243	9	7
244	3	0
245	9	25
246	4	17
247	7	8
248	6	10
249	0	5
250	6	6
251	2	20
252	5	3
253	0	0
254	1	29
255	4	28
256	8	16
257	2	21
258	3	9
259	9	16
260	9	28
261	6	4
262	2	28
263	4	27
264	8	0
265	4	0
266	6	13
267	8	4
268	5	2
269	6	9
270	9	5
271	6	8
272	8	21
273	2	5
274	4	21
275	9	5
276	3	13
277	5	20
278	0	6
279	6	16
280	4	19
281	8	6
282	7	27
283	9	16
284	7	7
285	1	7
286	1	0
287	3	24
288	4	25
289	3	26
290	4	13
291	3	13
292	9	23
293	6	8
294	3	2
295	7	20
296	2	23
297	8	6
298	4	5
299	6	14
300	0	3
301	3	26
302	4	14
303	5	3
304	1	22
305	6	13
306	2	12
307	6	11
308	8	4
309	4	15
310	0	21
311	5	18
312	1	22
313	7	2
314	0	28
315	4	29
316	8	7
317	6	13
318	9	28
319	0	27
320	9	28
321	1	11
322	0	11
323	8	24
324	1	25
325	8	4
326	2	10
327	6	22
328	3	16
329	2	23
330	7	1
331	8	7
332	7	25
333	6	22
334	0	21
335	3	13
336	9	0
337	3	13
338	6	7
339	8	14
340	9	17
341	4	25
342	3	4
343	3	13
344	5	28
345	9	6
346	7	14
347	8	1
348	5	0
349	7	28
350	5	0
351	2	10
352	4	9
353	7	19
354	4	3
355	7	19
356	1	21
357	2	11
358	5	8
359	7	10
360	2	27
361	2	9
362	3	18
363	5	6
364	7	25
365	0	12
366	5	10
367	4	14
368	0	17
369	2	19
370	8	4
371	2	26
372	5	21
373	2	12
374	7	29
375	6	29
376	6	0
377	8	21
378	5	23
379	5	7
380	1	12
381	6	5
382	4	28
383	9	20
384	6	29
385	7	1
386	1	20
387	2	22
388	6	19
389	9	17
390	3	21
391	0	21
392	9	6
393	3	26
394	5	11
395	5	2
396	3	18
397	3	7
398	3	10
399	3	21
400	4	3
401	8	9
402	1	21
403	5	15
404	0	7
405	4	0
406	9	28
407	2	8
408	0	9
409	8	7
410	5	14
0	5	7
411	3	25
412	2	1
413	4	25
414	8	0
415	9	6
416	8	22
417	4	17
418	1	3
419	4	28
420	9	16
421	2	9
422	1	2
423	5	20
424	0	1
425	0	13
426	2	24
427	3	11
428	0	20
429	0	12
430	9	8
431	4	5
432	0	24
433	8	2
434	1	10
435	5	26
436	1	3
437	0	16
438	3	7
439	2	23
440	7	20
441	4	7
442	4	7
443	6	4
444	1	29
445	7	26
446	3	8
447	1	18
448	7	28
449	8	9
450	6	28
451	0	26
452	2	10
453	1	15
454	0	6
455	1	22
456	9	2
457	0	11
458	2	23
459	1	12
460	1	4
461	4	18
462	1	24
463	2	18
464	6	14
465	0	16
466	5	14
467	7	19
468	1	13
469	1	10
470	2	19
471	4	28
472	5	10
473	7	2
474	2	4
475	2	16
476	9	18
477	0	14
478	5	22
479	2	25
480	4	22
481	7	19
482	4	3
483	1	21
484	5	20
485	6	10
486	4	4
487	0	25
488	3	7
489	2	27
490	8	0
491	7	27
492	2	20
493	3	3
494	8	21
495	2	18
496	4	2
497	4	29
498	0	8
499	7	1
500	3	0
501	0	23
502	4	18
503	0	16
504	5	21
505	9	5
506	7	2
507	6	16
508	1	10
509	2	0
510	3	2
511	7	19
512	6	13
513	4	25
514	0	0
515	3	15
516	9	2
517	0	11
518	1	1
519	5	4
520	4	16
521	0	28
522	6	25
523	6	9
524	7	12
525	8	29
526	9	14
527	1	22
528	3	19
529	6	15
530	5	15
531	7	10
532	5	16
533	1	6
534	5	3
535	5	6
536	1	21
537	3	13
538	4	2
539	4	27
540	5	23
541	8	28
542	1	23
543	6	0
544	0	18
545	2	10
546	4	22
547	4	25
548	6	16
549	1	10
550	8	23
551	4	21
552	3	8
553	5	17
554	9	3
555	4	16
556	8	5
557	4	4
558	3	21
559	9	12
560	0	28
561	4	7
562	0	26
563	9	20
564	3	12
565	2	16
566	4	16
